puzzle,h1-tree_depth,h1-explored_nodes,h1-fringe_max,h2-tree_depth,h2-explored_nodes,h2-fringe_max,h3-tree_depth,h3-explored_nodes,h3-fringe_max,h4-tree_depth,h4-explored_nodes,h4-fringe_max
"[3, 1, 2, 8, 7, 6, 5, 4, 0]",16,1331,821,16,365,225,16,327,202,16,541,335
"[1, 4, 2, 5, 0, 8, 3, 6, 7]",8,55,35,8,31,20,8,31,20,8,31,20
"[0, 5, 8, 2, 3, 1, 6, 7, 4]",18,3293,2035,18,644,396,18,553,341,18,1075,666
"[0, 4, 2, 1, 7, 5, 3, 6, 8]",6,22,14,6,19,12,6,19,12,6,19,12
"[2, 3, 5, 6, 0, 4, 7, 1, 8]",12,304,191,12,105,66,12,105,66,12,153,96
"[1, 7, 4, 3, 0, 2, 6, 8, 5]",8,50,32,8,28,18,8,28,18,8,28,18
"[7, 2, 0, 1, 3, 5, 4, 6, 8]",12,243,152,12,95,60,12,88,56,12,112,72
"[0, 1, 5, 6, 2, 4, 7, 3, 8]",10,103,66,10,44,28,10,44,28,10,58,37
"[0, 3, 5, 2, 1, 4, 6, 7, 8]",10,128,80,10,68,42,10,69,43,10,71,44
"[0, 5, 3, 6, 1, 2, 7, 4, 8]",14,618,390,14,151,95,14,128,81,14,209,132
"[1, 2, 0, 3, 4, 5, 6, 7, 8]",2,7,4,2,7,4,2,7,4,2,7,4
"[0, 1, 2, 6, 3, 5, 8, 4, 7]",16,1556,965,16,535,329,16,518,319,16,722,450
"[3, 4, 1, 6, 0, 2, 7, 8, 5]",8,24,15,8,24,15,8,24,15,8,24,15
"[1, 7, 0, 3, 5, 2, 4, 6, 8]",10,112,72,10,53,33,10,53,33,10,58,36
"[3, 1, 2, 4, 0, 5, 6, 7, 8]",2,9,6,2,9,6,2,9,6,2,9,6
"[1, 5, 0, 3, 2, 6, 4, 8, 7]",16,1459,896,16,368,228,16,304,188,16,502,316
"[0, 3, 2, 4, 1, 5, 6, 7, 8]",4,17,11,4,14,9,4,14,9,4,14,9
"[0, 4, 3, 1, 5, 2, 6, 7, 8]",10,131,82,10,68,44,10,64,41,10,75,48
