puzzle,h3-tree_depth,h3-explored_nodes,h3-fringe_max,bfs-tree_depth,bfs-explored_nodes,bfs-fringe_max
"[4, 3, 2, 6, 1, 5, 7, 8, 0]",8,24,15,9,253,260
"[3, 1, 2, 6, 0, 5, 7, 4, 8]",4,14,9,5,26,30
"[3, 4, 1, 6, 2, 5, 0, 7, 8]",12,169,104,13,1799,1808
"[3, 1, 2, 6, 0, 8, 5, 4, 7]",10,62,40,11,673,719
"[3, 1, 4, 6, 0, 2, 7, 5, 8]",10,55,35,11,653,704
"[3, 1, 2, 4, 5, 8, 6, 7, 0]",4,14,9,5,22,29
"[3, 2, 7, 1, 0, 5, 4, 6, 8]",14,197,123,15,5421,5337
"[3, 1, 5, 6, 0, 4, 7, 2, 8]",10,70,44,11,648,697
"[4, 3, 2, 6, 1, 5, 0, 7, 8]",6,19,12,7,54,61
"[4, 3, 1, 7, 0, 2, 6, 8, 5]",10,46,29,11,764,787
"[3, 2, 0, 4, 1, 5, 6, 7, 8]",4,14,9,5,26,31
"[1, 2, 5, 6, 0, 4, 7, 3, 8]",8,36,23,9,252,272
"[1, 2, 5, 3, 0, 4, 6, 7, 8]",4,14,9,5,35,45
"[1, 6, 2, 3, 0, 5, 7, 4, 8]",8,44,28,9,212,225
"[4, 3, 2, 6, 1, 5, 0, 7, 8]",6,19,12,7,54,61
"[1, 7, 2, 3, 0, 6, 4, 8, 5]",12,92,58,13,2276,2293
"[1, 4, 5, 2, 0, 3, 6, 7, 8]",12,139,87,13,1969,2028
"[3, 2, 5, 6, 4, 1, 7, 8, 0]",10,63,39,11,632,655
"[1, 2, 5, 3, 4, 8, 0, 6, 7]",6,17,10,7,84,101
"[0, 1, 5, 7, 2, 4, 3, 6, 8]",10,49,31,11,614,637
"[7, 3, 4, 6, 1, 2, 0, 8, 5]",14,125,79,15,2964,3151
"[3, 1, 5, 2, 0, 4, 6, 7, 8]",8,44,28,9,278,300
"[4, 1, 7, 6, 3, 2, 0, 8, 5]",18,833,515,19,18949,18074
"[4, 3, 1, 5, 8, 7, 0, 6, 2]",14,70,44,15,4382,4364
"[0, 4, 2, 1, 6, 5, 7, 3, 8]",8,31,20,9,188,220
